Runner,Game,Category,Run name,Run link
MarcussMcV96,Bloodborne,Any%,Bloodborne Any% No Hit,https://youtu.be/LcMKbybZhRg
MarcussMcV96,Bloodborne,Any%,Bloodborne Any% No Hit – BL4,https://youtu.be/xkLWm9HxXlo
MarcussMcV96,Bloodborne,Any%,Bloodborne Any% No Hit – Saw Spear,https://youtu.be/lCmqyAkaU90
MarcussMcV96,Bloodborne,Any%,Bloodborne Any% No Damage Part 1 (World’s First),https://www.youtube.com/watch?v=Tp9Obv0h5nY
MarcussMcV96,Bloodborne,Any%,Bloodborne Any% No Damage Part 2 (World’s First),https://youtu.be/amTqDC5Qt8c
MarcussMcV96,Bloodborne,All Main Game Bosses,Bloodborne All Main Game Bosses No Hit,https://www.twitch.tv/videos/249212139?filter=highlights&sort=time
MarcussMcV96,Bloodborne,All Bosses,Bloodborne All Bosses No Hit,https://youtu.be/D3Gb79Q3NiQ
VikingBarudda,Bloodborne,Any%,Bloodborne Any% No Hit,https://www.twitch.tv/videos/216862963?filter=highlights&sort=time
🇺🇸 Mogenkai,Bloodborne,Any%,Bloodborne Any% No Hit – Saw Spear (World’s First),https://www.youtube.com/watch?v=QE2vYqQr-nA
🇺🇸 Mogenkai,Bloodborne,All Main Game Bosses,Bloodborne All Main Game Bosses No Hit – Saw Spear (World’s First),https://www.twitch.tv/videos/318124680?filter=highlights&sort=time
🇺🇸 Mogenkai,Dark Souls II,Any%,Dark Souls II Any% No Hit,https://www.twitch.tv/videos/348386061?filter=highlights&sort=time
🇺🇸 Mogenkai,Demon's Souls: Classic,All Bosses,Demon’s Souls All Bosses No Hit – Sorcery Only (World’s First),https://www.twitch.tv/videos/251117553?filter=highlights&sort=time
Nobody_Buddy,Dark Souls,Any%,Dark Souls Any% No Hit – Sorcery Only,https://www.twitch.tv/videos/641145386?collection=HpmTI3eTFRa2eA&filter=collections&sort=time
Nobody_Buddy,Dark Souls II,Any%,Dark Souls II Any % No Hit,https://www.twitch.tv/videos/552881536?filter=highlights&sort=time
Nobody_Buddy,Dark Souls III,All Main Game Bosses,Dark Souls III All Main Game Bosses No Hit,https://www.twitch.tv/videos/248386461?filter=highlights&sort=time
Nobody_Buddy,Bloodborne,Any%,Bloodborne Any% No Hit,https://www.twitch.tv/videos/281803722?filter=highlights&sort=time
Nobody_Buddy,Bloodborne,Any%,Bloodborne Any% No Hit – Saw Spear,https://www.twitch.tv/videos/486509792?filter=highlights&sort=time
Nobody_Buddy,Bloodborne,Any%,Bloodborne Any% No Hit – Stake Driver,https://www.twitch.tv/videos/499393523?filter=highlights&sort=time
Nobody_Buddy,Bloodborne,Any%,Bloodborne Any% No Hit – Blades of Mercy (World’s First),https://www.twitch.tv/videos/599302441?filter=highlights&sort=time
Nobody_Buddy,Bloodborne,Any%,Bloodborne Any% No Hit – Threaded Cane,https://www.twitch.tv/videos/600996652?filter=highlights&sort=time
Nobody_Buddy,Bloodborne,Any%,Bloodborne Any% No Hit – Hunter’s Axe,https://www.twitch.tv/videos/611926109?filter=highlights&sort=time
Nobody_Buddy,Bloodborne,Any%,Bloodborne Any% No Hit – Ludwig’s Holy Blade,https://www.twitch.tv/videos/612845471
Nobody_Buddy,Bloodborne,All Main Game Bosses,Bloodborne All Main Game Bosses No Hit,https://www.twitch.tv/videos/347606694?filter=highlights&sort=time
Nobody_Buddy,Bloodborne,All Bosses,Bloodborne All Bosses No Hit,https://www.twitch.tv/videos/483534656?collection=JvTv6YfgxRWC8Q&filter=collections&sort=time
Nobody_Buddy,Sekiro,Immortal Severance Ending,Sekiro Immortal Severance Ending No Damage,https://www.twitch.tv/videos/530903579?filter=highlights&sort=time
GoesOnGhost,Bloodborne,Any%,Bloodborne Any % No Hit – 1 Hand,https://youtu.be/Kx0kWvBkVbA
GoesOnGhost,Bloodborne,Any%,Bloodborne Any % No Hit – Arcane Only (World’s First),https://youtu.be/BNPmL_bfjeI
GoesOnGhost,Bloodborne,Any%,Bloodborne Any % No Hit – BL4,https://www.twitch.tv/videos/463604169
GoesOnGhost,Bloodborne,Any%,Bloodborne Any % NG+ No Hit – Rakuyo (World’s First),https://youtu.be/NyO89mjvrms
GoesOnGhost,Bloodborne,Any%,Bloodborne Any % No Hit – Kirkhammer (World’s First),https://www.youtube.com/watch?v=Iq9VvCo0jCE
GoesOnGhost,Bloodborne,Any%,Bloodborne Any % No Hit – Hunter’s Axe,https://www.youtube.com/watch?v=lvfwYGYps9w
GoesOnGhost,Bloodborne,Any%,Bloodborne Any % (+ Gehrman) No Hit – Threaded Cane,https://www.twitch.tv/videos/656842501
GoesOnGhost,Bloodborne,Any%,Bloodborne Any % No Hit – No HUD,https://www.youtube.com/watch?v=1gHDJ6tmyVk
GoesOnGhost,Bloodborne,Any%,Bloodborne Any % No Hit – Ludwig’s Holy Blade (Two-Handed),https://www.youtube.com/watch?v=3GET_y29ka8
GoesOnGhost,Bloodborne,Any%,Bloodborne Any % No Hit – Beast Saif,https://youtu.be/vL4P1DMhzRU
GoesOnGhost,Bloodborne,Any%,"Bloodborne Any % No Hit – Saw Spear, BL4",https://www.youtube.com/watch?v=AmhotH5oDDs
GoesOnGhost,Bloodborne,Any%,Bloodborne Any % NG No Hit – Holy Moonlight Sword (World’s First),https://www.twitch.tv/videos/1014425982
GoesOnGhost,Bloodborne,Any%,Bloodborne Any% No Damage,https://youtu.be/Uds_7eCSmYM
GoesOnGhost,Bloodborne,Any%,Bloodborne Any% No Hit – No Consumables (World’s First),https://youtu.be/f8UJu8cIOwc
GoesOnGhost,Bloodborne,All Main Game Bosses,Bloodborne All Main Game Bosses No Hit – Arcane Only (World’s First),https://www.twitch.tv/videos/442203586
GoesOnGhost,Bloodborne,All Main Game Bosses,Bloodborne All Main Game Bosses No Hit – Hunter’s Axe (World’s First),https://www.twitch.tv/videos/953983742
GoesOnGhost,Bloodborne,All Main Game Bosses,Bloodborne All Main Game Bosses No Hit – BL4,https://www.twitch.tv/videos/956443700
GoesOnGhost,Bloodborne,All Main Game Bosses,Bloodborne All Main Game Bosses No Hit – BL4 No Buffs,https://youtu.be/wrDDRuCnlNI
